Unit Tag,Unit Type,Location,CxAlloy Status,CxAlloy URL
"TOR1A-AHU_F-DH-01","AHUs","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089891"
"TOR1A-AHU_F-DH-02","AHUs","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089892"
"TOR1A-AHU_F-DH-03","AHUs","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089893"
"TOR1A-AHU-FOH-01","AHUs","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089894"
"TOR1A-CH_A-DH1-01","Air Cooled Chillers","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089920"
"TOR1A-CH_A-DH1-02","Air Cooled Chillers","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089921"
"TOR1A-CH_A-DH1-03","Air Cooled Chillers","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089922"
"TOR1A-CH_A-DH1-04","Air Cooled Chillers","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089923"
"TOR1A-CH_A-DH1-05","Air Cooled Chillers","Roof","Red Tag Complete","https://tq.cxalloy.com/project/40206/equipment/9089924"
"TOR1A-CH_A-DH2-01","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089926"
"TOR1A-CH_A-DH2-03","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089928"
"TOR1A-CH_A-DH2-05","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089930"
"TOR1A-CH_A-DH2-06","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089931"
"TOR1A-CH_A-DH2-07","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089932"
"TOR1A-CH_A-DH2-08","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089933"
"TOR1A-CH_A-DH3-01","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089934"
"TOR1A-CH_A-DH3-02","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089935"
"TOR1A-CH_A-DH3-03","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089936"
"TOR1A-CH_A-DH3-04","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089937"
"TOR1A-CH_A-DH3-05","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089938"
"TOR1A-CH_A-DH3-06","Air Cooled Chillers","Roof","Ready for Startup (Yellow Tag Complete)","https://tq.cxalloy.com/project/40206/equipment/9089939"
