SharePoint Item Index,Job Number,Released Project Folder,Classification,Source
"0","00000","00000-00_REP_NOM PROJET","Template","XNRGY SharePoint > Documents > Released Projects"
"1","10000","10000-01_TRS_Charlotte Pipe & Foundry","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"2","10002","10002-01_TRS_Yamaha GA","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"3","10005","10005-01_ATS_Demo Cube","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"4","10009","10009-01_ATS_Corner Piece","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"5","10010","10010-02_ATC_Fox Tower","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"6","10011","10011-01_ITC_CISSS Chaudière","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"7","10012","10012-01_NAP_Elektrofi Lab","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"8","10013","10013-04_ATS_100 Light St","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"9","10014","10014-01_NAP_IDB Lab Conversion - BLDG 21+23+25 Phase 1A EAHU","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"10","10015","10015-01_NAP_IDB BLDG 21+23+25 MAU-2","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"11","10017","10017-01_NAP_St.Sebastian's School","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"12","10018","10018-01_SRS_1585 Broadway","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"13","10019","10019-03_TRN_Camosun College","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"14","10020","10020-03_ATC_651 Gateway","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"15","10021","10021-04_ATC_ACLS - Millbrae Station Building 1,2,3","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"16","10022","10022-02_ATC_UCB Gateway Building","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"17","10023","10023-01_SRS_Maimonides Medical Center","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"18","10024","10024-12_ATS_JHH - CMSC+NTA Repurposing","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"19","10025","10025-03_ATS_JHUSOM - Wood BSB","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"20","10026","10026-02_ITC_CHAUR Trois-Rivières","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"21","10028","10028-04_ATC_Berkeley Commons","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"22","10030","10030-02_ITC_Sunchef Anjou","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"23","10031","10031-84_TRS_Project Spartanburg","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"24","10032","10032-03_NEAP_BLDG 21+23+25 Phase 1B EAHU","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"25","10033","10033-03_ICS_UM Herbert Wellness","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"26","10034","10034-02_NAP_Union Square Sommerville","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"27","10036","10036-08_EIS_Florida Panthers Arena","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"28","10037","10037-01_ITC_Hopital St-Jérôme","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"29","10038","10038-01_TRN_SHXWAY Cultural Centre","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"30","10039","10039-01_TBC_Hurlburt","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"31","10040","10040-01_NAP_Mass Bay Community College","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"32","10041","10041-01_ENV_Mayo Johnson Medical Center","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"33","10042","10042_ICS_Jackson Memorial Hospital DTC 4th Floor Buildout","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"34","10044","10044-03_ATC_1255 Battery Levi's Plaza","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"35","10045","10045-01_AES_Highland Creek Treatment Plant","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"36","10047","10047-02_ITC_Projet de la Gare - VRV Housing","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"37","10052","10052-01_ITC_École des Constellations 1","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"38","10053","10053-01_NAP_Ipsen","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"39","10054","10054-02_TBC_Rockwool - KTG Air Wash","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"40","10055","10055-02_NEAP_200 Staples","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"41","10057","10057-04_ITC_École Christ-Roi","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"42","10058","10058-01_ICS_BHSF - Bethesda CEP","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"43","10059","10059-03_NEAP_440 Rutherford","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"44","10060","10060-04_CMS_Yakima Valley School","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
"45","10061","10061-01_NEAP_MGH","Job / project folder","XNRGY SharePoint > Documents > Released Projects"
